instance,method,shipment_count,route_count,time_limit_sec,status,is_optimal,runtime_sec,objective_value,total_cost_eur,total_emissions_kg,total_time_min,road_share_pct,rail_share_pct,air_share_pct,ship_share_pct,lambda,cost_weight,emissions_weight,time_weight
small,HiGHS MILP,3,10,15,Optimal,True,3.718,0.009661,1318.35,155.13,606.00,100.00,0.00,0.00,0.00,0,1.000000,0.000000,0.000000
small,HiGHS MILP,3,10,15,Optimal,True,3.640,0.009393,1318.35,155.13,606.00,100.00,0.00,0.00,0.00,0.1,0.909091,0.090909,0.000000
small,HiGHS MILP,3,10,15,Optimal,True,3.732,0.008680,1318.35,155.13,606.00,100.00,0.00,0.00,0.00,0.5,0.666667,0.333333,0.000000
small,HiGHS MILP,3,10,15,Optimal,True,3.687,0.008190,1318.35,155.13,606.00,100.00,0.00,0.00,0.00,1,0.500000,0.500000,0.000000
small,HiGHS MILP,3,10,15,Optimal,True,3.803,0.007700,1318.35,155.13,606.00,100.00,0.00,0.00,0.00,2,0.333333,0.666667,0.000000
small,HiGHS MILP,3,10,15,Optimal,True,3.949,0.007210,1318.35,155.13,606.00,100.00,0.00,0.00,0.00,5,0.166667,0.833333,0.000000
