solved,objective,total_cost,total_emissions,total_time,consolidation_rate,share_road,share_rail,share_ship,share_air,method,runtime,status,label
29,5.644348010557318,5592097.873333333,730634.1505,698328,0.41379310344827586,0.04589510931017581,0.02823750029699142,0.6991766087274808,0.22669078166535206,heuristic,3.616543084001023,Feasible,Baseline
29,5.641739274896478,5592097.873333333,729632.26075,698328,0.41379310344827586,0.04589510931017581,0.02823750029699142,0.6991766087274808,0.22669078166535206,heuristic,4.233632482999383,Feasible,Schiene Emiss. -30%
29,5.626985222489212,5562783.624333333,730559.2665,698328,0.41379310344827586,0.04553099049822143,0.028511191560544054,0.6992448958572395,0.22671292208399516,heuristic,3.5143738749975455,Feasible,Schiene Kosten -30%
29,5.666648887623401,5591105.673333334,736374.4158,698328,0.41379310344827586,0.04553099049822143,0.028511191560544054,0.6992448958572395,0.22671292208399516,heuristic,4.7074628730006225,Feasible,Straße Emiss. +30%
29,5.680021320960936,5989828.437333333,730757.0395,697883,0.3448275862068966,0.04675568093390314,0.027294996585670542,0.6992384804379914,0.22671084204243497,heuristic,4.479515916998935,Feasible,Schiff Kosten +30%
29,5.840463834270793,4486539.62,740596.0895,689677,0.3448275862068966,0.04550908967719259,0.02652659148750567,0.6969808212681083,0.23098349756719336,heuristic,4.571837277999293,Feasible,Luft Kosten -30%
29,5.63771740467138,5591255.673333334,945336.54645,698328,0.3448275862068966,0.04553099049822143,0.028511191560544054,0.6992448958572395,0.22671292208399516,heuristic,4.771162769997318,Feasible,Alle Emiss. +30%
