edge_id,origin_id,destination_id,mode,distance_km,time_h,emissions_kgCO2_per_tkm,cost_usd_per_tkm
RAIL_BETUWE_RAIL_DUISBURG_RAIL,BETUWE_RAIL,DUISBURG_RAIL,rail,200,22.4,0.018,0.065
RAIL_BETUWE_RAIL_HALKALI_RAIL,BETUWE_RAIL,HALKALI_RAIL,rail,2675,77.4,0.022,0.05
RAIL_DUISBURG_RAIL_BETUWE_RAIL,DUISBURG_RAIL,BETUWE_RAIL,rail,200,22.4,0.018,0.065
RAIL_DUISBURG_RAIL_HALKALI_RAIL,DUISBURG_RAIL,HALKALI_RAIL,rail,2460,72.7,0.022,0.05
RAIL_HALKALI_RAIL_BETUWE_RAIL,HALKALI_RAIL,BETUWE_RAIL,rail,2675,77.4,0.022,0.05
RAIL_HALKALI_RAIL_DUISBURG_RAIL,HALKALI_RAIL,DUISBURG_RAIL,rail,2460,72.7,0.022,0.05
